CMD:./cbp traces/fp/fp_3_trace.gz
G_PERCEP PC=0xFFFFF29A54C0, theta= 312, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
    30000052     12688273   2.3644    1539997      58365   0.1214       0.0046   3.7899%   1.9455    6525178   111.7995   217.5056
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 30000052 instrs 
G_PERCEP PC=0xFFFFF29A54C0, theta= 320, max bias=  11, baseline_comp=  0, stable_cnt=  0, grace_period=346, time_alive=  3
G_PERCEP PC=0xFFFFF2A6F9D8, theta= 312, max bias=  22, baseline_comp=  0, stable_cnt= 19, grace_period=511, time_alive=394
G_PERCEP PC=0xFFFFF29A5520, theta= 280, max bias=  33, baseline_comp=  0, stable_cnt=  2, grace_period=511, time_alive=  9
G_PERCEP PC=0xFFFFF29A54EC, theta= 296, max bias=  58, baseline_comp=  0, stable_cnt= 12, grace_period=511, time_alive=  2
G_PERCEP PC=0xFFFFF2A6FA10, theta= 304, max bias=  23, baseline_comp=  0, stable_cnt=  4, grace_period=511, time_alive=403
G_PERCEP PC=0xFFFFF2A6F9AC, theta= 288, max bias=  49, baseline_comp=  0, stable_cnt=  5, grace_period=511, time_alive=395
G_PERCEP PC=0xFFFFF29A54F0, theta= 304, max bias=  29, baseline_comp=  0, stable_cnt= 62, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF2A6FA8C, theta= 296, max bias=  34, baseline_comp=  0, stable_cnt= 24, grace_period=511, time_alive=410
G_PERCEP PC=0xFFFFF2A6F8A8, theta= 312, max bias=  34, baseline_comp=  0, stable_cnt= 31, grace_period=511, time_alive=384
G_PERCEP PC=0xFFFFF2A6FDB0, theta= 320, max bias=  62, baseline_comp=  0, stable_cnt=  8, grace_period=511, time_alive=383
G_PERCEP PC=0xFFFFF2A6FA18, theta= 312, max bias=  11, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=402
L_PERCEP PC=0xFFFFF2A6FA10, theta= 253, max bias=  15, baseline_comp=  0, stable_cnt=  2, grace_period=511, time_alive=393
L_PERCEP PC=0xFFFFF29A54F0, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=110, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF2A6F8A8, theta= 261, max bias=  19, baseline_comp=  0, stable_cnt= 44, grace_period=511, time_alive=374
L_PERCEP PC=0xFFFFF0E04F98, theta= 253, max bias=  25, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=  1
L_PERCEP PC=0xFFFFF29A50FC, theta= 277, max bias=  29, baseline_comp=  0, stable_cnt=  1, grace_period=511, time_alive= 22
L_PERCEP PC=0xFFFFF29A54C0, theta= 261, max bias=  12, baseline_comp=  0, stable_cnt=  0, grace_period=346, time_alive=  4
L_PERCEP PC=0xFFFFF2A6F9D8, theta= 261, max bias=  19, baseline_comp=  0, stable_cnt=  7, grace_period=511, time_alive=384
L_PERCEP PC=0xFFFFF29A54EC, theta= 285, max bias=   5, baseline_comp=  0, stable_cnt=  8, grace_period=511, time_alive=  3
L_PERCEP PC=0xFFFFF2A6F9AC, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt= 10, grace_period=511, time_alive=385
L_PERCEP PC=0xFFFFF2A6FA18, theta= 277, max bias=  19, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=392
L_PERCEP PC=0xFFFFF2A6FDB0, theta= 269, max bias=  46, baseline_comp=  0, stable_cnt=  6, grace_period=511, time_alive=373

ExecTime = 411.18321204185486
