CMD:./cbp traces/fp/fp_10_trace.gz
L_PERCEP PC=0x0060F734, theta= 253, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
JumpIndirect           6917          0   0.0000%   0.0000
JumpReturn            14860          0   0.0000%   0.0000
Not control        60934408          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10000016      1663779   6.0104     874914      18217   0.5259       0.0109   2.0821%   1.8217     405657    22.2680    40.5656
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25000016      4179613   5.9814    2182984      46822   0.5223       0.0112   2.1449%   1.8729    1041347    22.2405    41.6539
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    20000016      3334819   5.9973    1748758      37021   0.5244       0.0111   2.1170%   1.8510     821982    22.2031    41.0991
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    40000016      6790190   5.8909    3492402      77597   0.5143       0.0114   2.2219%   1.9399    1714887    22.0999    42.8722
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 40000016 instrs 
G_PERCEP PC=0x004FDB40, theta= 336, max bias=  37, baseline_comp=  0, stable_cnt= 60, grace_period=511, time_alive=1015
G_PERCEP PC=0x004F4E30, theta= 312, max bias=   4, baseline_comp=  0, stable_cnt= 13, grace_period=511, time_alive=4351
L_PERCEP PC=0x004FDB40, theta= 285, max bias=  13, baseline_comp=  0, stable_cnt= 50, grace_period=511, time_alive=1173
L_PERCEP PC=0x004F4E30, theta= 261, max bias=  37, baseline_comp= 13, stable_cnt=  0, grace_period=511, time_alive=4654
L_PERCEP PC=0x004F4DD4, theta= 261, max bias=  11, baseline_comp= 63, stable_cnt=255, grace_period=511, time_alive=4647
L_PERCEP PC=0x004F4E48, theta= 269, max bias=  29, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=1067
L_PERCEP PC=0x00602BF4, theta= 181, max bias=  21, baseline_comp= 62, stable_cnt=  0, grace_period=511, time_alive=13117
L_PERCEP PC=0x00602F10, theta= 261, max bias=   5, baseline_comp= 63, stable_cnt=255, grace_period=511, time_alive=13123
L_PERCEP PC=0x004F4DF4, theta= 237, max bias=  36, baseline_comp= 49, stable_cnt=  0, grace_period=511, time_alive=4643

ExecTime = 552.9985353946686
