CMD:./cbp traces/infra/infra_10_trace.gz
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007E8B608, theta= 629, max bias=   6, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=  3
L_PERCEP PC=0x4000000AA158, theta= 277, max bias=  20, baseline_comp=  0, stable_cnt=123, grace_period=511, time_alive=151
L_PERCEP PC=0x400007E8B2CC, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=  0, grace_period=239, time_alive=  5
L_PERCEP PC=0x4000000A8D38, theta= 317, max bias=  21, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=144
L_PERCEP PC=0x4000000A8CDC, theta= 261, max bias=  26, baseline_comp=  0, stable_cnt=  1, grace_period=511, time_alive=146
L_PERCEP PC=0x400007B08CF8, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=  0, grace_period=365, time_alive=116
L_PERCEP PC=0x400007D20374, theta= 301, max bias=  61, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=115
L_PERCEP PC=0x400007D23F60, theta= 269, max bias=  54, baseline_comp=  8, stable_cnt=  0, grace_period=511, time_alive=122
L_PERCEP PC=0x400007D24400, theta= 477, max bias=  36, baseline_comp=  0, stable_cnt=  0, grace_period=511, time_alive=117
L_PERCEP PC=0x4000000AA120, theta= 301, max bias=  33, baseline_comp=  0, stable_cnt=  5, grace_period=511, time_alive=112
L_PERCEP PC=0x400007ED4868, theta= 221, max bias=  45, baseline_comp= 63, stable_cnt= 89, grace_period=511, time_alive= 32
L_PERCEP PC=0x400007D242CC, theta= 309, max bias=  38, baseline_comp=  0, stable_cnt=  6, grace_period=511, time_alive=119
L_PERCEP PC=0x400007D242EC, theta= 261, max bias=  38, baseline_comp=  0, stable_cnt=  4, grace_period=511, time_alive=176
L_PERCEP PC=0x400007E8B4AC, theta= 589, max bias=  44, baseline_comp=  5, stable_cnt=  0, grace_period=511, time_alive=  1
L_PERCEP PC=0x400007D204D0, theta= 301, max bias=  40, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=114
L_PERCEP PC=0x4000000AA164, theta= 293, max bias=  13, baseline_comp=  0, stable_cnt= 15, grace_period=511, time_alive=150
L_PERCEP PC=0x4000000AA220, theta= 365, max bias=  57, baseline_comp=  0, stable_cnt= 37, grace_period=511, time_alive=  4
L_PERCEP PC=0x400007D20690, theta= 477, max bias=  44, baseline_comp= 18, stable_cnt=  0, grace_period=511, time_alive=123
L_PERCEP PC=0x400007E8B3FC, theta= 213, max bias=  51, baseline_comp= 58, stable_cnt=  0, grace_period=511, time_alive=  2
L_PERCEP PC=0x400007E8B5C4, theta= 589, max bias=  18, baseline_comp=  1, stable_cnt=  4, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007D24084, theta= 333, max bias=  39, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=120

ExecTime = 446.62736415863037
