CMD:./cbp traces/int/int_35_trace.gz
G_PERCEP PC=0x002A2450, theta= 320, max bias=  40, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  63, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5720, theta= 320, max bias=  62, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5720, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  38, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24F4, theta= 261, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A24F4, theta= 320, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5574, theta= 304, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2458, theta= 312, max bias=  37, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2240, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2240, theta= 320, max bias=  45, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  68, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24D4, theta= 237, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  34, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A57A4, theta= 261, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A57A4, theta= 320, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
30000000 instrs 
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  35, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2240, theta= 320, max bias=  39, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A57A4, theta= 312, max bias=  35, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2240, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  38, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  32, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A57A4, theta= 261, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24F4, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A24F4, theta= 320, max bias=  40, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5584, theta= 261, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A555C, theta= 245, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  51, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  31, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5720, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5720, theta= 312, max bias=  52, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2240, theta= 320, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2240, theta= 261, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5D74, theta= 312, max bias=  43, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5D74, theta= 261, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 320, max bias=  56, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5D10, theta= 229, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
35000000 instrs 
G_PERCEP PC=0x002A57A4, theta= 312, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A57A4, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  59, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A55AC, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A55AC, theta= 320, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5720, theta= 320, max bias=  40, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5720, theta= 261, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24F4, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2458, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2458, theta= 320, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A24F4, theta= 320, max bias=  44, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  38, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5D74, theta= 320, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5D74, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A57A4, theta= 320, max bias=  43, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  51, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5698, theta= 261, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  31, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5D10, theta= 304, max bias=  42, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5720, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A57A4, theta= 253, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
40000000 instrs 
EOF
======== Predictor Memory ========
TAGE-SC-L (bits) = 1305275
TAGE-SC-L (KBytes) = 159.335327
H2P_ID_MEM_BITS = 19456
H2P_ID_MEM (KBytes) = 2.375000
L_PERCEP_MEM_BITS = 176320
L_PERCEP_MEM (KBytes) = 21.523438
G_PERCEP_MEM_BITS = 33184
G_PERCEP_MEM (KBytes) = 4.050781
Total Memory (bits) = 1534235
Total Memory (KBytes) = 187.284546
======== Runtime Statistics ========
COL h2p_insert_cnt = 174
COL h2p_with_tage = 5513456
COL h2p_with_lhist_percep = 105842
COL h2p_with_ghist_percep = 0
COL filtered_updates = 6943
COL lhist_percep_evictions = 152
COL ghist_percep_evictions = 153
COL lhist_percep_stale_evictions = 1
COL ghist_percep_stale_evictions = 0
======== End of Statistics ========
WINDOW_SIZE = 1024
FETCH_WIDTH = 16
FETCH_NUM_BRANCH = 16
FETCH_STOP_AT_INDIRECT = 1
FETCH_STOP_AT_TAKEN = 1
FETCH_MODEL_ICACHE = 1
PERFECT_BRANCH_PRED = 0
PERFECT_INDIRECT_PRED = 1
PIPELINE_FILL_LATENCY = 10
NUM_LDST_LANES = 8
NUM_ALU_LANES = 16
MEMORY HIERARCHY CONFIGURATION---------------------
STRIDE Prefetcher = 1
PERFECT_CACHE = 0
WRITE_ALLOCATE = 1
Within-pipeline factors:
	AGEN latency = 1 cycle
	Store Queue (SQ): SQ size = window size, oracle memory disambiguation, store-load forwarding = 1 cycle after store's or load's agen.
	* Note: A store searches the L1$ at commit. The store is released
	* from the SQ and window, whether it hits or misses. Store misses
	* are buffered until the block is allocated and the store is
	* performed in the L1$. While buffered, conflicting loads get
	* the store's data as they would from the SQ.
I$: 128 KB, 8-way set-assoc., 64B block size
L1$: 128 KB, 8-way set-assoc., 64B block size, 3-cycle search latency
L2$: 4 MB, 8-way set-assoc., 64B block size, 12-cycle search latency
L3$: 32 MB, 16-way set-assoc., 128B block size, 50-cycle search latency
Main Memory: 150-cycle fixed search time
---------------------------STORE QUEUE MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)---------------------------
Number of loads: 8263981
Number of loads that miss in SQ: 7956182 (96.28%)
Number of PFs issued to the memory system 3834380
---------------------------------------------------------------------------------------------------------------------------------------
------------------------MEMORY HIERARCHY MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------
I$:
	accesses   = 40643058
	misses     = 528
	miss ratio = 0.00%
	pf accesses   = 0
	pf misses     = 0
	pf miss ratio = nan%
L1$:
	accesses   = 9591525
	misses     = 78457
	miss ratio = 0.82%
	pf accesses   = 3834380
	pf misses     = 8574
	pf miss ratio = 0.22%
L2$:
	accesses   = 78985
	misses     = 29994
	miss ratio = 37.97%
	pf accesses   = 8574
	pf misses     = 2055
	pf miss ratio = 23.97%
L3$:
	accesses   = 29994
	misses     = 22848
	miss ratio = 76.18%
	pf accesses   = 2055
	pf misses     = 1194
	pf miss ratio = 58.10%
---------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------Prefetcher (Full Simulation i.e. No Warmup)----------------------------------------------
Num Trainings :8263981
Num Prefetches generated :3836459
Num Prefetches issued :4181393
Num Prefetches filtered by PF queue :32220
Num untimely prefetches dropped from PF queue :2079
Num prefetches not issued LDST contention :347013
Num prefetches not issued stride 0 :2501848
---------------------------------------------------------------------------------------------------------------------------------------

-------------------------------ILP LIMIT STUDY (Full Simulation i.e. Counts Not Reset When Warmup Ends)--------------------------------
instructions = 40000048
cycles       = 11366014
CycWP        = 5129364
IPC          = 3.5193

---------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)----------------------------------------------
Type                   NumBr     MispBr        mr     mpki
CondDirect          5671843      90237   1.5910%   2.2559
JumpDirect           240094          0   0.0000%   0.0000
JumpIndirect          25987          0   0.0000%   0.0000
JumpReturn            15519          0   0.0000%   0.0000
Not control        34689615          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10000048      2797557   3.5746    1414996      23704   0.5058       0.0085   1.6752%   2.3704    1195023    50.4144   119.5017
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25000048      6674373   3.7457    3539874      52193   0.5304       0.0078   1.4744%   2.0877    2886791    55.3099   115.4714
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    20000048      5475045   3.6529    2842811      42779   0.5192       0.0078   1.5048%   2.1389    2393214    55.9437   119.6604
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    40000048     11366014   3.5193    5671843      90237   0.4990       0.0079   1.5910%   2.2559    5129364    56.8432   128.2339
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 40000048 instrs 
G_PERCEP PC=0x002A537C, theta= 320, max bias=  19, baseline_comp=  0, stable_cnt=  0, grace_period=467, time_alive= 21
G_PERCEP PC=0x002A5034, theta= 320, max bias=  36, baseline_comp=  0, stable_cnt= 66, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A4F20, theta= 320, max bias=  30, baseline_comp=  7, stable_cnt=  0, grace_period=511, time_alive=  3
G_PERCEP PC=0x002A5FE8, theta= 312, max bias=  20, baseline_comp=  0, stable_cnt=  6, grace_period=511, time_alive=455
G_PERCEP PC=0x002A2190, theta= 320, max bias=  33, baseline_comp=  8, stable_cnt=  0, grace_period=511, time_alive=  9
G_PERCEP PC=0x002A5584, theta= 312, max bias=  26, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive= 15
G_PERCEP PC=0x002A5698, theta= 304, max bias=  19, baseline_comp=  0, stable_cnt=127, grace_period=511, time_alive= 16
G_PERCEP PC=0x002A5BFC, theta= 288, max bias=  30, baseline_comp=  0, stable_cnt= 14, grace_period=511, time_alive= 10
G_PERCEP PC=0x002A21AC, theta= 304, max bias=  43, baseline_comp=  0, stable_cnt= 45, grace_period=511, time_alive= 28
G_PERCEP PC=0x002A5064, theta= 344, max bias=   9, baseline_comp=  0, stable_cnt= 50, grace_period=511, time_alive=  1
G_PERCEP PC=0x002A5B9C, theta= 272, max bias=  71, baseline_comp=  0, stable_cnt= 48, grace_period=511, time_alive= 12
G_PERCEP PC=0x002A247C, theta= 312, max bias=   9, baseline_comp=  1, stable_cnt=  3, grace_period=511, time_alive=  4
G_PERCEP PC=0x002A5AB8, theta= 280, max bias=  41, baseline_comp=  0, stable_cnt=  3, grace_period=511, time_alive= 14
G_PERCEP PC=0x002A53AC, theta= 304, max bias=  14, baseline_comp=  1, stable_cnt=  7, grace_period=511, time_alive= 20
G_PERCEP PC=0x002A4FB8, theta= 312, max bias=  18, baseline_comp=  0, stable_cnt= 18, grace_period=511, time_alive=  2
G_PERCEP PC=0x002A24D4, theta= 208, max bias=  29, baseline_comp=  0, stable_cnt= 99, grace_period=511, time_alive=  6
L_PERCEP PC=0x002A5D74, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=  0, grace_period=332, time_alive=  7
L_PERCEP PC=0x002A58DC, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=  0, grace_period=287, time_alive= 48
L_PERCEP PC=0x002A537C, theta= 261, max bias=   7, baseline_comp=  0, stable_cnt= 52, grace_period=511, time_alive= 53
L_PERCEP PC=0x002A5574, theta= 229, max bias=  10, baseline_comp= 12, stable_cnt=  0, grace_period=511, time_alive= 43
L_PERCEP PC=0x002A5FE8, theta= 269, max bias=  17, baseline_comp=  0, stable_cnt= 29, grace_period=511, time_alive=584
L_PERCEP PC=0x002A2190, theta= 261, max bias=  18, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=  6
L_PERCEP PC=0x002A5584, theta= 261, max bias=  13, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive= 42
L_PERCEP PC=0x002A5D10, theta= 245, max bias=  10, baseline_comp=  1, stable_cnt= 28, grace_period=511, time_alive= 12
L_PERCEP PC=0x002A5BFC, theta= 277, max bias=  18, baseline_comp=  0, stable_cnt= 23, grace_period=511, time_alive=  8
L_PERCEP PC=0x002A5034, theta= 261, max bias=  26, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A4F20, theta= 261, max bias=  15, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive=  3
L_PERCEP PC=0x002A598C, theta= 253, max bias=  27, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive= 41
L_PERCEP PC=0x002A21AC, theta= 245, max bias=  20, baseline_comp=  0, stable_cnt= 54, grace_period=511, time_alive= 60
L_PERCEP PC=0x002A5064, theta= 253, max bias=  21, baseline_comp=  0, stable_cnt= 14, grace_period=511, time_alive=  1
L_PERCEP PC=0x002A5B9C, theta= 237, max bias=  37, baseline_comp=  0, stable_cnt=  3, grace_period=511, time_alive= 39
L_PERCEP PC=0x002A247C, theta= 285, max bias=  29, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  4
L_PERCEP PC=0x002A5CE8, theta= 205, max bias=  18, baseline_comp=  0, stable_cnt=  9, grace_period=511, time_alive=  9
L_PERCEP PC=0x002A24F4, theta= 261, max bias=   0, baseline_comp=  0, stable_cnt=  0, grace_period=  0, time_alive=  4
L_PERCEP PC=0x002A53AC, theta= 253, max bias=  33, baseline_comp=  1, stable_cnt=  3, grace_period=511, time_alive= 52
L_PERCEP PC=0x002A4FB8, theta= 205, max bias=  48, baseline_comp= 61, stable_cnt=  0, grace_period=511, time_alive=  2
L_PERCEP PC=0x002A5310, theta= 205, max bias=  46, baseline_comp= 63, stable_cnt=  2, grace_period=511, time_alive= 49

ExecTime = 329.1983222961426
