CMD:./cbp traces/int/int_2_trace.gz
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F4D0, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F4D0, theta= 320, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8EF70, theta= 296, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F240, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F220, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F220, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
30000000 instrs 
EOF
======== Predictor Memory ========
TAGE-SC-L (bits) = 1305275
TAGE-SC-L (KBytes) = 159.335327
H2P_ID_MEM_BITS = 19456
H2P_ID_MEM (KBytes) = 2.375000
L_PERCEP_MEM_BITS = 176320
L_PERCEP_MEM (KBytes) = 21.523438
G_PERCEP_MEM_BITS = 33184
G_PERCEP_MEM (KBytes) = 4.050781
Total Memory (bits) = 1534235
Total Memory (KBytes) = 187.284546
======== Runtime Statistics ========
COL h2p_insert_cnt = 109
COL h2p_with_tage = 4846407
COL h2p_with_lhist_percep = 481350
COL h2p_with_ghist_percep = 11102
COL filtered_updates = 0
COL lhist_percep_evictions = 101
COL ghist_percep_evictions = 102
COL lhist_percep_stale_evictions = 0
COL ghist_percep_stale_evictions = 0
======== End of Statistics ========
WINDOW_SIZE = 1024
FETCH_WIDTH = 16
FETCH_NUM_BRANCH = 16
FETCH_STOP_AT_INDIRECT = 1
FETCH_STOP_AT_TAKEN = 1
FETCH_MODEL_ICACHE = 1
PERFECT_BRANCH_PRED = 0
PERFECT_INDIRECT_PRED = 1
PIPELINE_FILL_LATENCY = 10
NUM_LDST_LANES = 8
NUM_ALU_LANES = 16
MEMORY HIERARCHY CONFIGURATION---------------------
STRIDE Prefetcher = 1
PERFECT_CACHE = 0
WRITE_ALLOCATE = 1
Within-pipeline factors:
	AGEN latency = 1 cycle
	Store Queue (SQ): SQ size = window size, oracle memory disambiguation, store-load forwarding = 1 cycle after store's or load's agen.
	* Note: A store searches the L1$ at commit. The store is released
	* from the SQ and window, whether it hits or misses. Store misses
	* are buffered until the block is allocated and the store is
	* performed in the L1$. While buffered, conflicting loads get
	* the store's data as they would from the SQ.
I$: 128 KB, 8-way set-assoc., 64B block size
L1$: 128 KB, 8-way set-assoc., 64B block size, 3-cycle search latency
L2$: 4 MB, 8-way set-assoc., 64B block size, 12-cycle search latency
L3$: 32 MB, 16-way set-assoc., 128B block size, 50-cycle search latency
Main Memory: 150-cycle fixed search time
---------------------------STORE QUEUE MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)---------------------------
Number of loads: 9503272
Number of loads that miss in SQ: 8095841 (85.19%)
Number of PFs issued to the memory system 1013959
---------------------------------------------------------------------------------------------------------------------------------------
------------------------MEMORY HIERARCHY MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------
I$:
	accesses   = 32433835
	misses     = 44
	miss ratio = 0.00%
	pf accesses   = 0
	pf misses     = 0
	pf miss ratio = nan%
L1$:
	accesses   = 16844908
	misses     = 331830
	miss ratio = 1.97%
	pf accesses   = 1013959
	pf misses     = 3035
	pf miss ratio = 0.30%
L2$:
	accesses   = 331874
	misses     = 66438
	miss ratio = 20.02%
	pf accesses   = 3035
	pf misses     = 1174
	pf miss ratio = 38.68%
L3$:
	accesses   = 66438
	misses     = 40703
	miss ratio = 61.26%
	pf accesses   = 1174
	pf misses     = 425
	pf miss ratio = 36.20%
---------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------Prefetcher (Full Simulation i.e. No Warmup)----------------------------------------------
Num Trainings :9503272
Num Prefetches generated :1017623
Num Prefetches issued :1610702
Num Prefetches filtered by PF queue :42418
Num untimely prefetches dropped from PF queue :3664
Num prefetches not issued LDST contention :596743
Num prefetches not issued stride 0 :3015234
---------------------------------------------------------------------------------------------------------------------------------------

-------------------------------ILP LIMIT STUDY (Full Simulation i.e. Counts Not Reset When Warmup Ends)--------------------------------
instructions = 30000052
cycles       = 18351011
CycWP        = 14359787
IPC          = 1.6348

---------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)----------------------------------------------
Type                   NumBr     MispBr        mr     mpki
CondDirect          5366311     295833   5.5128%   9.8611
JumpDirect          1267823          0   0.0000%   0.0000
JumpIndirect          61994          0   0.0000%   0.0000
JumpReturn            78302          0   0.0000%   0.0000
Not control        25659405          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10000052      5699965   1.7544    1788847      97228   0.3138       0.0171   5.4352%   9.7227    4390133    45.1530   439.0110
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25000052     14589585   1.7136    4472148     243379   0.3065       0.0167   5.4421%   9.7351   11286905    46.3758   451.4753
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    15000052      8548919   1.7546    2681980     145134   0.3137       0.0170   5.4114%   9.6756    6584326    45.3672   438.9535
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    30000052     18351011   1.6348    5366311     295833   0.2924       0.0161   5.5128%   9.8611   14359787    48.5402   478.6587
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 30000052 instrs 
G_PERCEP PC=0xFFFFF0D8F240, theta= 320, max bias=  12, baseline_comp=  0, stable_cnt=  0, grace_period= 47, time_alive= 42
G_PERCEP PC=0xFFFFF0D8F184, theta= 280, max bias=  52, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive= 40
G_PERCEP PC=0xFFFFF0D8F4D8, theta= 320, max bias=  19, baseline_comp= 14, stable_cnt=  0, grace_period=511, time_alive=  1
G_PERCEP PC=0xFFFFF0D8EEFC, theta= 488, max bias=  26, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F2CC, theta= 376, max bias= 105, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive=  4
G_PERCEP PC=0xFFFFF0D8F288, theta= 312, max bias=  83, baseline_comp=  0, stable_cnt= 17, grace_period=511, time_alive=  3
G_PERCEP PC=0xFFFFF0D8F1D0, theta= 488, max bias= 100, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive= 48
L_PERCEP PC=0xFFFFF0D8F0AC, theta= 253, max bias=   6, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=111
L_PERCEP PC=0xFFFFF0D8F184, theta= 317, max bias=  45, baseline_comp=  1, stable_cnt=  8, grace_period=511, time_alive= 41
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   0, baseline_comp=  0, stable_cnt=  0, grace_period= 47, time_alive= 43
L_PERCEP PC=0xFFFFF0D8EEFC, theta= 461, max bias=  57, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=  1
L_PERCEP PC=0xFFFFF0D8F2CC, theta= 413, max bias=  38, baseline_comp=  5, stable_cnt=  0, grace_period=511, time_alive=  5
L_PERCEP PC=0xFFFFF0D8F1D0, theta= 605, max bias=  43, baseline_comp=  0, stable_cnt=  9, grace_period=511, time_alive= 49
L_PERCEP PC=0xFFFFF0D8EF70, theta= 301, max bias=  17, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F288, theta= 221, max bias=  20, baseline_comp= 63, stable_cnt= 22, grace_period=511, time_alive=  4

ExecTime = 290.07604813575745
