CMD:./cbp traces/int/int_21_trace.gz
G_PERCEP PC=0x002A332C, theta= 312, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
	accesses   = 58958
	misses     = 21821
	miss ratio = 37.01%
	pf accesses   = 618934
	pf misses     = 310065
	pf miss ratio = 50.10%
---------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------Prefetcher (Full Simulation i.e. No Warmup)----------------------------------------------
Num Trainings :13297026
Num Prefetches generated :3405049
Num Prefetches issued :4100688
Num Prefetches filtered by PF queue :42355
Num untimely prefetches dropped from PF queue :8289
Num prefetches not issued LDST contention :703928
Num prefetches not issued stride 0 :2538221
---------------------------------------------------------------------------------------------------------------------------------------

-------------------------------ILP LIMIT STUDY (Full Simulation i.e. Counts Not Reset When Warmup Ends)--------------------------------
instructions = 40000052
cycles       = 45441551
CycWP        = 40528057
IPC          = 0.8803

---------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)----------------------------------------------
Type                   NumBr     MispBr        mr     mpki
CondDirect          9059172     950360  10.4906%  23.7590
JumpDirect          1640026          0   0.0000%   0.0000
JumpIndirect              2          0   0.0000%   0.0000
JumpReturn            29284          0   0.0000%   0.0000
Not control        31187885          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10000052     10379286   0.9635    2236186     253513   0.2154       0.0244  11.3368%  25.3512    9115255    35.9558   911.5208
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25000052     27865741   0.8972    5643767     600577   0.2025       0.0216  10.6414%  24.0230   24769719    41.2432   990.7867
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    20000052     22367828   0.8941    4504449     486996   0.2014       0.0218  10.8114%  24.3497   19879353    40.8204   993.9651
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    40000052     45441551   0.8803    9059172     950360   0.1994       0.0209  10.4906%  23.7590   40528057    42.6450  1013.2001
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 40000052 instrs 
G_PERCEP PC=0x002A3114, theta= 312, max bias=  40, baseline_comp=  1, stable_cnt=  4, grace_period=511, time_alive= 22
G_PERCEP PC=0x002A2D7C, theta= 312, max bias=  47, baseline_comp=  0, stable_cnt= 41, grace_period=511, time_alive=  2
G_PERCEP PC=0x002A2DB0, theta= 312, max bias=  61, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive= 43
G_PERCEP PC=0x002A34BC, theta= 304, max bias=  24, baseline_comp= 47, stable_cnt=  0, grace_period=511, time_alive= 48
G_PERCEP PC=0x002A2E64, theta= 328, max bias=  18, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive= 78
G_PERCEP PC=0x002A2DAC, theta= 304, max bias=  68, baseline_comp= 11, stable_cnt=  0, grace_period=511, time_alive= 44
G_PERCEP PC=0x002A2D24, theta= 344, max bias=  28, baseline_comp= 29, stable_cnt=  0, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A322C, theta= 304, max bias=  48, baseline_comp=  0, stable_cnt= 19, grace_period=511, time_alive= 20
G_PERCEP PC=0x002A2D9C, theta= 424, max bias=  55, baseline_comp=  0, stable_cnt=  8, grace_period=511, time_alive= 79
G_PERCEP PC=0x002A2D10, theta= 384, max bias=  56, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  1
G_PERCEP PC=0x002A2CAC, theta= 312, max bias=  57, baseline_comp=  5, stable_cnt=  0, grace_period=511, time_alive=  3
G_PERCEP PC=0x002A2DA4, theta= 328, max bias=  18, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=104
G_PERCEP PC=0x002A3924, theta= 528, max bias=   2, baseline_comp=  2, stable_cnt=  2, grace_period=511, time_alive= 13
G_PERCEP PC=0x002A2B7C, theta= 440, max bias=  59, baseline_comp=  0, stable_cnt= 43, grace_period=511, time_alive=  8
G_PERCEP PC=0x002A2BD4, theta= 632, max bias=  16, baseline_comp= 23, stable_cnt=  0, grace_period=511, time_alive=  5
G_PERCEP PC=0x002A2B40, theta= 376, max bias=  58, baseline_comp= 56, stable_cnt=  0, grace_period=511, time_alive=  4
L_PERCEP PC=0x002A2EF8, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=  0, grace_period= 70, time_alive= 28
L_PERCEP PC=0x002A2FF0, theta= 261, max bias=  34, baseline_comp=  1, stable_cnt=  0, grace_period=276, time_alive=6088
L_PERCEP PC=0x002A3040, theta= 277, max bias=  30, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=4664
L_PERCEP PC=0x002A2D2C, theta= 277, max bias=  28, baseline_comp= 13, stable_cnt=  0, grace_period=511, time_alive= 32
L_PERCEP PC=0x002A2F30, theta= 293, max bias=  16, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive=4667
L_PERCEP PC=0x002A2E04, theta= 269, max bias=  44, baseline_comp=  0, stable_cnt=  1, grace_period=511, time_alive= 31
L_PERCEP PC=0x002A2EB4, theta= 301, max bias=  38, baseline_comp= 10, stable_cnt=  0, grace_period=511, time_alive= 30
L_PERCEP PC=0x002A2CCC, theta= 301, max bias=  21, baseline_comp=  0, stable_cnt=  0, grace_period=511, time_alive= 33
L_PERCEP PC=0x002A30DC, theta= 261, max bias=  43, baseline_comp=  0, stable_cnt=  0, grace_period=511, time_alive=4290
L_PERCEP PC=0x002A39AC, theta= 269, max bias=  52, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive=4806
L_PERCEP PC=0x002A2CAC, theta= 309, max bias=  70, baseline_comp=  8, stable_cnt=  0, grace_period=511, time_alive= 35
L_PERCEP PC=0x002A3114, theta= 293, max bias=  25, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=4022
L_PERCEP PC=0x002A2D7C, theta= 301, max bias=  41, baseline_comp=  0, stable_cnt= 43, grace_period=511, time_alive= 25
L_PERCEP PC=0x002A2B7C, theta= 421, max bias=  61, baseline_comp= 13, stable_cnt=  0, grace_period=511, time_alive=4000
L_PERCEP PC=0x002A2DB0, theta= 293, max bias=  25, baseline_comp=  0, stable_cnt= 19, grace_period=511, time_alive=4043
L_PERCEP PC=0x002A2EDC, theta= 277, max bias=  33, baseline_comp=  0, stable_cnt=  3, grace_period=511, time_alive= 29
L_PERCEP PC=0x002A3344, theta= 525, max bias=  39, baseline_comp=  0, stable_cnt= 31, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A3924, theta= 421, max bias=  55, baseline_comp=  0, stable_cnt= 26, grace_period=511, time_alive=4007
L_PERCEP PC=0x002A34BC, theta= 301, max bias=  40, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=4048
L_PERCEP PC=0x002A2FDC, theta= 309, max bias=  48, baseline_comp=  0, stable_cnt= 12, grace_period=511, time_alive= 27
L_PERCEP PC=0x002A2E64, theta= 309, max bias=  27, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=4083
L_PERCEP PC=0x002A2D24, theta= 333, max bias=  19, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive= 23
L_PERCEP PC=0x002A322C, theta= 293, max bias=  55, baseline_comp=  0, stable_cnt= 18, grace_period=511, time_alive=4020
L_PERCEP PC=0x002A2D9C, theta= 381, max bias=  17, baseline_comp=  1, stable_cnt=  1, grace_period=511, time_alive=4084
L_PERCEP PC=0x002A2D78, theta= 365, max bias=  48, baseline_comp=  0, stable_cnt= 21, grace_period=511, time_alive= 22
L_PERCEP PC=0x002A2D10, theta= 365, max bias=  43, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive= 24
L_PERCEP PC=0x002A2DA4, theta= 309, max bias=  33, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=4129
L_PERCEP PC=0x002A2FFC, theta= 277, max bias=   5, baseline_comp=  0, stable_cnt=  1, grace_period=511, time_alive= 26
L_PERCEP PC=0x002A32EC, theta= 541, max bias=  50, baseline_comp= 11, stable_cnt=  0, grace_period=511, time_alive=  3
L_PERCEP PC=0x002A2BD4, theta= 549, max bias=  57, baseline_comp= 16, stable_cnt=  0, grace_period=511, time_alive=3997
L_PERCEP PC=0x002A2B40, theta= 445, max bias=  27, baseline_comp=  0, stable_cnt=  6, grace_period=511, time_alive= 36
L_PERCEP PC=0x0029FC2C, theta= 277, max bias=  13, baseline_comp= 56, stable_cnt=  0, grace_period=511, time_alive= 20

ExecTime = 274.45223093032837
