CMD:./cbp traces/int/int_1_trace.gz
G_PERCEP PC=0xFFFFF0D8F240, theta= 320, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F0AC, theta= 320, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F458, theta= 320, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8EF70, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F220, theta= 320, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F220, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8EF1C, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F0AC, theta= 320, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F458, theta= 277, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F240, theta= 304, max bias=  43, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8EF1C, theta= 261, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F240, theta= 320, max bias=  31, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F0AC, theta= 245, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8EF70, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F220, theta= 320, max bias=  40, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F220, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8F240, theta= 261, max bias=   0, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F240, theta= 320, max bias=  35, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F0AC, theta= 320, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
30000000 instrs 
EOF
======== Predictor Memory ========
TAGE-SC-L (bits) = 1305275
TAGE-SC-L (KBytes) = 159.335327
H2P_ID_MEM_BITS = 19456
H2P_ID_MEM (KBytes) = 2.375000
L_PERCEP_MEM_BITS = 176320
L_PERCEP_MEM (KBytes) = 21.523438
G_PERCEP_MEM_BITS = 33184
G_PERCEP_MEM (KBytes) = 4.050781
Total Memory (bits) = 1534235
Total Memory (KBytes) = 187.284546
======== Runtime Statistics ========
COL h2p_insert_cnt = 114
COL h2p_with_tage = 4797783
COL h2p_with_lhist_percep = 447922
COL h2p_with_ghist_percep = 27704
COL filtered_updates = 0
COL lhist_percep_evictions = 108
COL ghist_percep_evictions = 107
COL lhist_percep_stale_evictions = 0
COL ghist_percep_stale_evictions = 0
======== End of Statistics ========
WINDOW_SIZE = 1024
FETCH_WIDTH = 16
FETCH_NUM_BRANCH = 16
FETCH_STOP_AT_INDIRECT = 1
FETCH_STOP_AT_TAKEN = 1
FETCH_MODEL_ICACHE = 1
PERFECT_BRANCH_PRED = 0
PERFECT_INDIRECT_PRED = 1
PIPELINE_FILL_LATENCY = 10
NUM_LDST_LANES = 8
NUM_ALU_LANES = 16
MEMORY HIERARCHY CONFIGURATION---------------------
STRIDE Prefetcher = 1
PERFECT_CACHE = 0
WRITE_ALLOCATE = 1
Within-pipeline factors:
	AGEN latency = 1 cycle
	Store Queue (SQ): SQ size = window size, oracle memory disambiguation, store-load forwarding = 1 cycle after store's or load's agen.
	* Note: A store searches the L1$ at commit. The store is released
	* from the SQ and window, whether it hits or misses. Store misses
	* are buffered until the block is allocated and the store is
	* performed in the L1$. While buffered, conflicting loads get
	* the store's data as they would from the SQ.
I$: 128 KB, 8-way set-assoc., 64B block size
L1$: 128 KB, 8-way set-assoc., 64B block size, 3-cycle search latency
L2$: 4 MB, 8-way set-assoc., 64B block size, 12-cycle search latency
L3$: 32 MB, 16-way set-assoc., 128B block size, 50-cycle search latency
Main Memory: 150-cycle fixed search time
---------------------------STORE QUEUE MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)---------------------------
Number of loads: 9512699
Number of loads that miss in SQ: 8048814 (84.61%)
Number of PFs issued to the memory system 1003146
---------------------------------------------------------------------------------------------------------------------------------------
------------------------MEMORY HIERARCHY MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------
I$:
	accesses   = 32489832
	misses     = 44
	miss ratio = 0.00%
	pf accesses   = 0
	pf misses     = 0
	pf miss ratio = nan%
L1$:
	accesses   = 16939089
	misses     = 258407
	miss ratio = 1.53%
	pf accesses   = 1003146
	pf misses     = 2819
	pf miss ratio = 0.28%
L2$:
	accesses   = 258451
	misses     = 66485
	miss ratio = 25.72%
	pf accesses   = 2819
	pf misses     = 1090
	pf miss ratio = 38.67%
L3$:
	accesses   = 66485
	misses     = 40356
	miss ratio = 60.70%
	pf accesses   = 1090
	pf misses     = 401
	pf miss ratio = 36.79%
---------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------Prefetcher (Full Simulation i.e. No Warmup)----------------------------------------------
Num Trainings :9512699
Num Prefetches generated :1006483
Num Prefetches issued :1579973
Num Prefetches filtered by PF queue :40097
Num untimely prefetches dropped from PF queue :3337
Num prefetches not issued LDST contention :576827
Num prefetches not issued stride 0 :2989042
---------------------------------------------------------------------------------------------------------------------------------------

-------------------------------ILP LIMIT STUDY (Full Simulation i.e. Counts Not Reset When Warmup Ends)--------------------------------
instructions = 30000052
cycles       = 18171032
CycWP        = 14192839
IPC          = 1.6510

---------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)----------------------------------------------
Type                   NumBr     MispBr        mr     mpki
CondDirect          5301134     311045   5.8675%  10.3681
JumpDirect          1242684          0   0.0000%   0.0000
JumpIndirect          66695          0   0.0000%   0.0000
JumpReturn            83423          0   0.0000%   0.0000
Not control        25795896          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10000052      5737881   1.7428    1761166     101612   0.3069       0.0177   5.7696%  10.1611    4433987    43.6365   443.3964
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25000052     14625685   1.7093    4413492     257677   0.3018       0.0176   5.8384%  10.3071   11340101    44.0090   453.6031
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    15000052      8623808   1.7394    2642836     152755   0.3065       0.0177   5.7800%  10.1836    6662661    43.6166   444.1759
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    30000052     18171032   1.6510    5301134     311045   0.2917       0.0171   5.8675%  10.3681   14192839    45.6295   473.0938
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 30000052 instrs 
G_PERCEP PC=0xFFFFF0D8EF70, theta= 296, max bias=  40, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive= 22
G_PERCEP PC=0xFFFFF0D8F184, theta= 288, max bias=  63, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF0D8F4D8, theta= 320, max bias=  19, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive= 24
G_PERCEP PC=0xFFFFF0D8EEFC, theta= 464, max bias=  37, baseline_comp= 28, stable_cnt=  0, grace_period=511, time_alive= 21
G_PERCEP PC=0xFFFFF0D8F2CC, theta= 448, max bias= 118, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive= 28
G_PERCEP PC=0xFFFFF0D8F288, theta= 472, max bias=  75, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive= 27
G_PERCEP PC=0xFFFFF0D8F1D0, theta= 440, max bias= 108, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive=  2
L_PERCEP PC=0xFFFFF0D8F0AC, theta= 261, max bias=   1, baseline_comp=  0, stable_cnt= 73, grace_period=511, time_alive= 21
L_PERCEP PC=0xFFFFF0D8F184, theta= 397, max bias=  52, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF0D8EEFC, theta= 453, max bias=  59, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive= 31
L_PERCEP PC=0xFFFFF0D8F2CC, theta= 445, max bias=  30, baseline_comp=  1, stable_cnt=  1, grace_period=511, time_alive= 37
L_PERCEP PC=0xFFFFF0D8F288, theta= 197, max bias=  25, baseline_comp= 62, stable_cnt=  0, grace_period=511, time_alive= 36
L_PERCEP PC=0xFFFFF0D8F1D0, theta= 605, max bias=  34, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=  2

ExecTime = 182.2368199825287
